pesticide,2018,2019,2020,2021,2022,2023,2024,,,,,,,,,,,,,,
Acephate,19633,21081,29588,29556,33387,37356,24979,,,,,,,,,,,,,,
Alphamethrin,344,438,536,506,488,227,245,,,,,,,,,,,,,,
Chlorpyriphos,7143,6496,8529,7494,8454,7789,8773,,,,,,Unit : Metric Tonne,,,,,,,,
Cypermethrin,10952,10865,12291,16480,10883,8561,10770,,,,,,,,,,,,,,
DDT,1366,815,569,658,279,14,0,Dichlorodiphenyltrichloroethane (DDT) ,,,,,No Data found,,,,,,,,
Deltamethrin,682,685,590,707,740,632,790,,,,,,Dicofol,,,,,,,,
Dimethoate,1257,1446,1452,1391,1014,981,1428,,,,,,Phorate,,,,,,,,
Ethion,1318,2127,2220,2794,2333,2626,2840,,,,,,Triazophos,,,,,,,,
Ethofumesate,1042,792,433,732,892,788,461,,,,,,Triclopyr acid,,,,,,,,
Fenvalerate,695,670,493,678,502,462,548,,,,,,Carbendazim,,,,,,,,
Imidachloroprid,100,20,29,26,1,20,3,,,,,,,,,,,,,,
Lambda Cyhalothrin,622,2297,1677,2696,3099,1996,1803,,,,,,Data missing,,,,,,,,
Malathion,4390,3691,3838,3286,2837,2931,3956,,,,,,DDVP,9136,NA,935,422,42,NA,NA,"Dichlorvos (2,2-dichlorovinyl dimethyl phosphate"
Monocrotophos,5298,5817,7917,7487,5100,11875,6323,,,,,,Temephos,77,148,148,NA,64,127,154,
Pendimethalin,2822,2753,3639,4764,4674,4644,3202,,,,,,,,,,,,,,
Permethrin,1860,1222,1656,2485,3584,2459,1651,,,,,,,,,,,,,,
Phenthoate,1534,1408,1349,1830,1797,1584,1994,,,,,,,,,,,,,,
Profenofos Technical,12452,12361,16080,16247,16099,15144,18026,,,,,,,,,,,,,,
Quinalphos,885,856,1056,2454,601,724,980,,,,,,,,,,,,,,
Thiamethoxam Technical,5569,6152,5211,6562,6425,5058,3660,,,,,,,,,,,,,,
Captan&Captafol,1931,1462,1463,1897,1634,890,921,,,,,,,,,,,,,,
Hexaconazole,501,753,809,1279,614,840,989,,,,,,,,,,,,,,
Mancozeb,69331,60880,97428,117831,83615,107360,119758,,,,,,,,,,,,,,
Metconazole,336,207,200,190,347,298,140,,,,,,,,,,,,,,
Ziram,763,634,881,673,587,738,843,,,,,,,,,,,,,,
"2,4-D",24236,22555,27050,39996,41962,35131,39022,"2,4-D (2,4-Dichlorophenoxyacetic acid)",,,,,,,,,,,,,
Atrazine,1477,1730,1611,1689,3063,5224,6297,,,,,,,,,,,,,,
Diuron,3618,3397,3423,2325,3501,4381,5546,,,,,,,,,,,,,,
Glyphosate,6684,5911,6129,5722,4697,4934,6375,,,,,,,,,,,,,,
Metribuzin,1919,2648,3191,1999,2336,2044,3151,,,,,,,,,,,,,,
Pretilachlor Technical,3626,3066,3587,3218,3455,1994,1387,,,,,,,,,,,,,,
Aluminium Phosphide,4913,4914,7614,9350,7367,8015,8881,,,,,,,,,,,,,,
Zinc phosphide,1260,1316,1468,1979,1488,2048,1357,,,,,,,,,,,,,,
Grand Total,216703,191755,255090,297403,257961,279895,287253,,,,,,,,,,,,,,
